term,mp_id,mp_term_key,name,club,professions,profession_raw,profession_clean,profession_group,profession_group_web
8,477,8-477,Grzegorz Lorek,PiS,pracownik samorządowy,pracownik samorządowy,pracownik samorządowy,Administracja publiczna,Sektor publiczny i służby
8,481,8-481,Iwona Krawczyk,PO-KO,"urzędnik samorządowy, menedżer",urzędnik samorządowy,urzędnik samorządowy,Administracja publiczna,Sektor publiczny i służby
8,114,8-114,Jan Grabiec,PO-KO,urzędnik państwowy,urzędnik państwowy,urzędnik państwowy,Administracja publiczna,Sektor publiczny i służby
8,309,8-309,Jarosław Porwich,niez.,specjalista administracji publicznej,specjalista administracji publicznej,specjalista administracji publicznej,Administracja publiczna,Sektor publiczny i służby
8,202,8-202,Józef Kurek,,wyższy urzędnik państwowy,wyższy urzędnik państwowy,wyższy urzędnik państwowy,Administracja publiczna,Sektor publiczny i służby
8,475,8-475,Kamil Bortniczuk,PiS,"menedżer, prawnik, urzędnik państwowy",urzędnik państwowy,urzędnik państwowy,Administracja publiczna,Sektor publiczny i służby
8,118,8-118,Kazimierz Gwiazdowski,PiS,pracownik samorządowy,pracownik samorządowy,pracownik samorządowy,Administracja publiczna,Sektor publiczny i służby
8,178,8-178,Kazimierz Kotowski,PSL-KP,pracownik samorządowy,pracownik samorządowy,pracownik samorządowy,Administracja publiczna,Sektor publiczny i służby
8,138,8-138,Krystian Jarubas,PSL-KP,pracownik samorządowy,pracownik samorządowy,pracownik samorządowy,Administracja publiczna,Sektor publiczny i służby
8,31,8-31,Mariusz Błaszczak,PiS,urzędnik państwowy,urzędnik państwowy,urzędnik państwowy,Administracja publiczna,Sektor publiczny i służby
8,493,8-493,Michał Jan Mazowiecki,PSL-KP,urzędnik administracji państwowej,urzędnik administracji państwowej,urzędnik administracji państwowej,Administracja publiczna,Sektor publiczny i służby
8,25,8-25,Paweł Bejda,PSL-KP,pracownik administracji samorządowej,pracownik administracji samorządowej,pracownik administracji samorządowej,Administracja publiczna,Sektor publiczny i służby
8,147,8-147,Piotr Kaleta,PiS,urzędnik samorządowy,urzędnik samorządowy,urzędnik samorządowy,Administracja publiczna,Sektor publiczny i służby
8,486,8-486,Piotr Müller,PiS,"prawnik, urzędnik państwowy",urzędnik państwowy,urzędnik państwowy,Administracja publiczna,Sektor publiczny i służby
8,449,8-449,Piotr Zgorzelski,PSL-KP,pracownik samorządowy,pracownik samorządowy,pracownik samorządowy,Administracja publiczna,Sektor publiczny i służby
8,498,8-498,Roman Sasin,PiS,pracownik samorządowy,pracownik samorządowy,pracownik samorządowy,Administracja publiczna,Sektor publiczny i służby
8,21,8-21,Ryszard Bartosik,PiS,samorządowiec,samorządowiec,samorządowiec,Administracja publiczna,Sektor publiczny i służby
8,423,8-423,Ryszard Wilczyński,PO-KO,wyższy urzędnik państwowy,wyższy urzędnik państwowy,wyższy urzędnik państwowy,Administracja publiczna,Sektor publiczny i służby
8,408,8-408,Sylwester Tułajew,PiS,pracownik samorządowy,pracownik samorządowy,pracownik samorządowy,Administracja publiczna,Sektor publiczny i służby
8,389,8-389,Szymon Szynkowski vel Sęk,PiS,samorządowiec,samorządowiec,samorządowiec,Administracja publiczna,Sektor publiczny i służby
8,176,8-176,Tomasz Kostuś,PO-KO,wyższy urzędnik samorządowy,wyższy urzędnik samorządowy,wyższy urzędnik samorządowy,Administracja publiczna,Sektor publiczny i służby
8,198,8-198,Tomasz Kucharski,PO-KO,urzędnik samorządowy,urzędnik samorządowy,urzędnik samorządowy,Administracja publiczna,Sektor publiczny i służby
8,189,8-189,Wojciech Król,PO-KO,pracownik administracji,pracownik administracji,pracownik administracji,Administracja publiczna,Sektor publiczny i służby
8,426,8-426,Wojciech Wilk,PO,urzędnik państwowy,urzędnik państwowy,urzędnik państwowy,Administracja publiczna,Sektor publiczny i służby
8,342,8-342,Łukasz Schreiber,PiS,pracownik samorządowy,pracownik samorządowy,pracownik samorządowy,Administracja publiczna,Sektor publiczny i służby
8,503,8-503,Adam Kałaska,PiS,przedsiębiorca prywatny,przedsiębiorca prywatny,przedsiębiorca prywatny,Biznes i finanse,Biznes i finanse
8,217,8-217,Adam Lipiński,PiS,ekonomista,ekonomista,ekonomista,Biznes i finanse,Biznes i finanse
8,36,8-36,Agata Borowiec,PiS,"prawnik, ekonomista",ekonomista,ekonomista,Biznes i finanse,Biznes i finanse
